site_id,site_name
104843,RA-SS-10834
115877,CA-TR-78677
115863,BR-TR-73112
116106,RA-TR-6267
115873,CA-TR-50251
94672,FI-SS-10737
95412,GR-TR-010
106750,SL-SS-10577
94652,FI-RV-14028
113261,WD-TR-011
116170,WE-SS-63000
116167,WE-RV-20056
116156,TU-LS-42120
115855,BR-LS-54388
115854,BR-LS-48500
115853,BR-LS-19380
91449,CC-TR-35738
91450,CC-TR-80526
104847,RA-SS-11161
104805,RA-LS-10073
116092,RA-LS-11090
116096,RA-SS-12185
115878,CA-TR-78945
115868,CA-TR-13682
115913,CO-RV-57382
115906,CO-LS-61606
115914,CO-RV-72486
115920,CO-SS-50646
115904,CO-LS-41894
104846,RA-SS-11097
104849,RA-SS-11353
104806,RA-LS-10329
116105,RA-TR-25808
116002,KE-TR-63143
116020,KN-SS-15265
116023,KN-SS-16737
116019,KN-SS-14497
116031,KS-SS-21265
116025,KN-SS-18337
116024,KN-SS-17697
115919,CO-SS-47574
115926,CO-SS-70566
115899,CO-LS-16342
115924,CO-SS-59862
115902,CO-LS-26406
115915,CO-SS-25238
116030,KS-SS-19985
116021,KN-SS-16145
116022,KN-SS-16481
116117,RN-LS-14457
116094,RA-RV-17925
115921,CO-SS-51158
115911,CO-RV-27942
116093,RA-LS-13465
116099,RA-SS-12377
97685,MN-RO-1082
115851,BRF-LS-1165
115852,BR-LS-1134
115927,CO-SS-74918
115905,CO-LS-51366
115901,CO-LS-23462
115849,BO-RV-1011
115865,BT-RV-1004
115841,BF-RV-1105
96463,KR-RV-11017
116028,KR-TR-41842
116029,KR-TR-49829
116053,MS-RM-3083
116001,JA-TR-92249
116088,PO-TR-65484
115999,JA-TR-77207
115998,JA-TR-3082
116089,PO-TR-81214
116000,JA-TR-88752
115897,CN-SS-26266
115895,CN-RV-18458
115890,CF-SS-71322
115889,CF-SS-47546
115887,CF-LS-56954
115884,CF-LS-32862
115886,CF-LS-47738
115922,CO-SS-51670
115994,JA-SS-38952
115993,JA-SS-25832
115996,JA-SS-59880
115989,JA-RV-41576
115981,JA-LS-14296
115992,JA-RV-76277
115982,JA-LS-15848
115995,JA-SS-55336
115983,JA-LS-24232
115985,JA-LS-40600
115987,JA-RV-30568
115991,JA-RV-58984
115980,JA-LS-11176
115978,HU-SS-66292
113277,WD-TR-1383
115923,CO-SS-52390
115917,CO-SS-41126
115885,CF-LS-44934
116027,KR-RV-14073
115925,CO-SS-60198
115909,CO-LS-73686
115912,CO-RV-37158
115898,CO-LS-15318
115910,CO-RV-17702
115900,CO-LS-18470
115896,CN-SS-24198
115888,CF-RV-13098
115883,CF-LS-15578
115942,CTG-LS-1009
115958,CTO-SS-1091
116052,ML-TR-83350
116050,ML-TR-36179
116136,SW-SS-42880
116137,SW-SS-64384
115840,BF-RV-1101
115953,CTO-SS-1075
115949,CTO-LS-1070
115948,CTG-SS-1014
115941,CTG-LS-1005
115947,CTG-SS-1013
115951,CTO-RV-1069
115986,JA-LS-74392
115990,JA-RV-47528
115988,JA-RV-33704
116086,PO-SS-1027
116077,PO-LS-1046
116081,PO-RV-1025
116082,PO-SS-1013
116076,PO-LS-1034
116080,PO-RV-1021
116087,PO-SS-1030
116085,PO-SS-1018
116078,PO-RV-1003
116079,PO-RV-1009
115861,BR-TR-38889
116084,PO-SS-1016
116164,US-SS-15366
116165,US-SS-15558
116157,TU-LS-75538
116169,WE-SS-24424
116166,WE-LS-70456
116158,TU-SS-51832
115997,JA-SS-63464
115984,JA-LS-36840
106741,SL-LS-12065
115856,BR-SS-1137
116026,KN-SS-18593
116054,MS-RM-3084
115908,CO-LS-72342
115957,CTO-SS-1090
116083,PO-SS-1015
116163,US-RV-10910
115894,CN-RV-13082
115954,CTO-SS-1077
115977,HU-SS-36644
115946,CTG-SS-1012
115952,CTO-SS-1071
115956,CTO-SS-1089
115955,CTO-SS-1084
115943,CTG-SS-1007
115944,CTG-SS-1008
115945,CTG-SS-1011
115950,CTO-LS-1072
116091,PS-SS-23137
116075,PN-SS-15969
116124,RS-LS-16681
116125,RS-SS-13609
116107,RA-TR-81250
116108,RA-TR-94923
115867,CA-TR-10122
98741,NC-SS-9144
116160,TU-TR-2766
116139,SW-TR-27971
107682,SW-SS-67904
115979,HU-SS-67636
115881,CA-TR-89626
115862,BR-TR-47508
115858,BR-SS-58484
116060,NW-LS-9268
115860,BR-SS-72772
115859,BR-SS-65076
116171,WE-TR-9570
116168,WE-SS-14712
116173,XS-LS-6006
116175,XS-LS-6061
116161,TU-TR-77345
116159,TU-TR-14957
116140,SW-TR-78845
116138,SW-SS-65664
116132,SF-RV-23764
116051,ML-TR-64134
116074,PN-SS-15833
116126,RS-TR-55969
115869,CA-TR-16787
115880,CA-TR-84189
104840,RA-SS-10521
115876,CA-TR-78069
116121,RS-LS-15273
115879,CA-TR-80656
104842,RA-SS-10777
104838,RA-SS-10265
104848,RA-SS-11289
104845,RA-SS-11033
115467,XN-SS-4165
116098,RA-SS-12313
116122,RS-LS-15545
116104,RA-TR-20674
116100,RA-SS-12434
116095,RA-SS-10642
116123,RS-LS-15877
104844,RA-SS-10841
104839,RA-SS-10386
104837,RA-SS-10137
116119,RN-SS-14393
104807,RA-LS-11865
116097,RA-SS-12281
116103,RA-TR-1444
116174,XS-LS-6045
115857,BR-SS-17972
115928,CO-SS-76183
115918,CO-SS-42454
115916,CO-SS-28118
115871,CA-TR-39988
116102,RA-TR-13036
116101,RA-SS-15506
116109,RA-TR-98957
115907,CO-LS-67622
116120,RN-SS-14889
115872,CA-TR-43228
116118,RN-RV-15289
104829,RA-RV-10322
113272,WD-TR-1259
115903,CO-LS-41766
115870,CA-TR-25148
115875,CA-TR-57973
115874,CA-TR-5442
113263,WD-TR-021
113271,WD-TR-1236
113264,WD-TR-022
95643,GWS-SR-37756
99514,NW-SS-9277
113265,WD-TR-023
113278,WD-TR-1435
113262,WD-TR-020
98740,NC-SS-9141
98721,NB-RO-9127
113276,WD-TR-1379
113281,WD-TR-1473
113282,WD-TR-1481
115498,XS-SS-6096
106749,SL-SS-10001
115410,XE-SS-5143
115437,XN-RM-4071
115449,XN-SS-4104
100689,OT-RO-7093
97667,MN-LS-1008
97800,MP-RM-2051
115502,XS-SS-6105
115331,XE-LS-5018
97684,MN-RO-1081
95607,GS-RO-9003
99506,NW-SS-9261
99504,NW-LS-9269
99342,NO-RO-9205
95609,GS-RO-9008
100703,OT-SS-7133
115389,XE-RM-5072
98398,MS-RM-3072
98397,MS-RM-3071
98401,MS-RM-3075
115438,XN-RM-4072
111347,W303O2
113266,WD-TR-1027
97789,MP-LS-2005
97801,MP-RM-2052
98391,MS-LS-3023
115325,XE-LS-5007
98746,NC-SS-9170
115392,XE-RO-5081
113269,WD-TR-1214
113274,WD-TR-1359
115419,XN-LS-4004
115507,XS-SS-6115
115493,XS-RO-6082
