"","sampleId","groupId","groupName","metricId","metricName","metricValue"
"1",115217,1,"Collection Information",75,"Rarefied Taxa","[{""OTUName"" : ""Acari"", ""splitCount"" : 3}, {""OTUName"" : ""Rhizelmis"", ""splitCount"" : 11}, {""OTUName"" : ""Zaitzevia"", ""splitCount"" : 3}, {""OTUName"" : ""Clinocera"", ""splitCount"" : 2}, {""OTUName"" : ""Antocha"", ""splitCount"" : 1}, {""OTUName"" : ""Hexatoma"", ""splitCount"" : 1}, {""OTUName"" : ""Baetis"", ""splitCount"" : 12}, {""OTUName"" : ""Drunella_doddsii"", ""splitCount"" : 26}, {""OTUName"" : ""Epeorus"", ""splitCount"" : 19}, {""OTUName"" : ""Rhithrogena"", ""splitCount"" : 15}, {""OTUName"" : ""Chloroperlidae"", ""splitCount"" : 3}, {""OTUName"" : ""Malenka"", ""splitCount"" : 1}, {""OTUName"" : ""Visoka"", ""splitCount"" : 3}, {""OTUName"" : ""Doroneuria"", ""splitCount"" : 1}, {""OTUName"" : ""Pteronarcys"", ""splitCount"" : 1}, {""OTUName"" : ""Micrasema"", ""splitCount"" : 4}, {""OTUName"" : ""Hydropsyche"", ""splitCount"" : 17}, {""OTUName"" : ""Parapsyche"", ""splitCount"" : 2}, {""OTUName"" : ""Lepidostoma"", ""splitCount"" : 3}, {""OTUName"" : ""Other_Polycentropodidae"", ""splitCount"" : 1}, {""OTUName"" : ""Polycentropus"", ""splitCount"" : 1}, {""OTUName"" : ""Gumaga"", ""splitCount"" : 1}, {""OTUName"" : ""Nemata"", ""splitCount"" : 1}, {""OTUName"" : ""Turbellaria"", ""splitCount"" : 3}, {""OTUName"" : ""Diphetor"", ""splitCount"" : 2}, {""OTUName"" : ""Calineuria"", ""splitCount"" : 22}, {""OTUName"" : ""Oroperla"", ""splitCount"" : 1}, {""OTUName"" : ""Caudatella"", ""splitCount"" : 1}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 11}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 20}, {""OTUName"" : ""Diamesinae"", ""splitCount"" : 1}, {""OTUName"" : ""Orthocladiinae"", ""splitCount"" : 1}, {""OTUName"" : ""Tanypodinae"", ""splitCount"" : 1}, {""OTUName"" : ""Drunella_coloradensis_flavilinea"", ""splitCount"" : 8}, {""OTUName"" : ""Orohermes"", ""splitCount"" : 2}, {""OTUName"" : ""Amiocentrus"", ""splitCount"" : 1}, {""OTUName"" : ""Allocosmoecus"", ""splitCount"" : 1}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 2}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 1}, {""OTUName"" : ""Rhyacophila_betteni_group"", ""splitCount"" : 11}, {""OTUName"" : ""Orthocladiinae"", ""splitCount"" : 1}, {""OTUName"" : ""Orthocladiinae"", ""splitCount"" : 27}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 33}, {""OTUName"" : ""Orthocladiinae"", ""splitCount"" : 13}, {""OTUName"" : ""Chironominae"", ""splitCount"" : 1}, {""OTUName"" : ""Rhyacophila_hyalinata_group"", ""splitCount"" : 4}]"
"2",115217,3,"Richness",22,"Shannon's Diversity","3.1755948063745"
"3",115217,3,"Richness",23,"Simpson's Diversity","0.943133333333333"
"4",115217,3,"Richness",24,"Evenness","0.872995"
"5",115217,3,"Richness",25,"# of EPT Taxa","25"
"6",115217,3,"Richness",26,"EPT Taxa Abundance","358.871"
"7",115217,3,"Richness",20,"Richness","38"
"8",115217,3,"Richness",21,"Abundance","635.753"
"9",115217,4,"Dominance Metrics",28,"Abundance of Dominant Family","192.204"
"10",115217,4,"Dominance Metrics",29,"Dominant Taxa","Micropsectra"
