sample_id,site_id,site_name,sample_date
102599,2946,BEAVER-2-1,1994-09-14
102610,3191,BITTER-G-3,1995-08-17
106400,18585,SFBRCK-01,1997-04-15
106401,18585,SFBRCK-01,1997-04-15
106402,18585,SFBRCK-01,1997-04-15
106427,18585,SFBRCK-01,1997-10-02
106428,18585,SFBRCK-01,1997-10-02
106429,18585,SFBRCK-01,1997-10-02
108973,18585,SFBRCK-01,1998-05-15
108974,18585,SFBRCK-01,1998-05-15
108975,18585,SFBRCK-01,1998-05-15
109003,18585,SFBRCK-01,1998-10-09
109004,18585,SFBRCK-01,1998-10-09
109005,18585,SFBRCK-01,1998-10-09
109006,18585,SFBRCK-01,1998-10-09
112206,18585,SFBRCK-01,1999-06-03
112207,18585,SFBRCK-01,1999-06-03
112208,18585,SFBRCK-01,1999-06-03
112209,18585,SFBRCK-01,1999-06-03
112237,18585,SFBRCK-01,1999-10-07
112238,18585,SFBRCK-01,1999-10-07
112239,18585,SFBRCK-01,1999-10-07
112240,18585,SFBRCK-01,1999-10-07
115375,17621,R5BIO-420,2000-08-02
115552,17621,R5BIO-420,2000-08-02
115712,20806,THREE-02,2001-08-07
115713,20806,THREE-02,2001-08-03
115714,20806,THREE-02,2001-08-07
115721,18286,SANDY-01,2001-08-14
115722,18286,SANDY-01,2001-08-14
115723,18286,SANDY-01,2001-08-14
115724,18287,SANDY-02,2001-08-14
115725,18287,SANDY-02,2001-08-14
115726,18287,SANDY-02,2001-08-14
115763,18585,SFBRCK-01,2000-05-18
115764,18585,SFBRCK-01,2000-05-18
115765,18585,SFBRCK-01,2000-05-18
115766,18585,SFBRCK-01,2000-05-18
115775,18585,SFBRCK-01,2000-10-12
115776,18585,SFBRCK-01,2000-10-12
115777,18585,SFBRCK-01,2000-10-12
115778,18585,SFBRCK-01,2000-10-12
123836,7296,EPA03-2023,2003-07-20
129766,13446,ORWLF:1008,2006-07-01
129770,13450,ORWLF:1014,2006-07-03
129771,13451,ORWLF:1015,2006-07-04
129777,13458,ORWLF:1031,2006-07-18
129974,1520,4933748,2006-10-05
131311,24126,VERNAL:15,2002-08-19
131312,24126,VERNAL:15,2002-08-13
