site_id,site_name
7447,FA-RV-18418
7448,FA-RV-22194
20654,TA-LS-17218
20546,SW-SS-24847
20697,TA-RV-21154
20698,TA-RV-21314
20699,TA-RV-21474
20700,TA-RV-21922
20701,TA-RV-22806
20707,TA-SS-41794
20545,SW-SS-23311
18362,SA-SS-14794
20547,SW-SS-26111
20548,SW-SS-27382
20551,SW-TR-1025
20572,SW-TR-1299
20655,TA-LS-18210
20656,TA-LS-18402
20657,TA-LS-18498
20658,TA-LS-18710
20708,TA-SS-44310
10690,MP-SS-2097
20659,TA-LS-19426
20660,TA-LS-22178
20661,TA-LS-22306
7449,FA-RV-22514
20709,TA-SS-48406
20662,TA-LS-22498
20678,TA-RV-10914
20681,TA-RV-11938
20683,TA-RV-12962
20688,TA-RV-15586
20689,TA-RV-15842
20690,TA-RV-16354
20691,TA-RV-17058
20692,TA-RV-17826
20693,TA-RV-18082
7450,FA-RV-22962
20694,TA-RV-19186
20695,TA-RV-19734
20696,TA-RV-20450
20710,TA-SS-55266
18501,SB-SS-26383
18502,SB-SS-28431
13446,ORWLF:1008
13120,ORSFA-1011
714,2013ORWLD1001
7569,FMD-TR-1153
6310,CY-TR-1331
716,2013ORWLD1016
12382,NW-SS-9277
2170,762
10198,MB-RV-1202
13450,ORWLF:1014
10196,MB-RV-10514
10197,MB-RV-1200
7570,FMD-TR-1340
13119,ORSFA-1009
11608,NC-SS-9141
10680,MP-SS-2080
13458,ORWLF:1031
11312,MT-LS-16946
12804,ORFLO-1010
13451,ORWLF:1015
20158,SPRUCE_CK3
18483,SB-LS-19699
18484,SB-LS-21007
18485,SB-LS-22771
18486,SB-LS-23795
20652,TA-LS-16034
18491,SB-RV-17167
18492,SB-RV-19955
18493,SB-RV-20723
18499,SB-SS-24335
18500,SB-SS-25359
20530,SW-LS-15103
20531,SW-LS-19727
20653,TA-LS-16610
9225,KERBERCK-01
20302,SR-SS-1001
20533,SW-LS-23295
20534,SW-LS-23823
20535,SW-RV-10511
20536,SW-RV-10767
20537,SW-RV-11023
20538,SW-RV-11535
20539,SW-RV-21775
26261,WHLRCRK
20540,SW-RV-22031
20541,SW-RV-22799
9226,KERBERCK-02
9231,KERBERCK-25
6680,EDOUG
9232,KERBERCK4
9229,KERBERCK-05
9230,KERBERCK-06
3651,BRPRKCRK
17804,RED_CK_MOUTH_16
3241,BLKSULP25
2017,4MILECRK
10574,MN-SS-1140
9410,LAKECRK1
17823,REDDRTCRK
19617,SL-SS-10001
24113,VE-LS-11577
18580,SFBIGCRK
10577,MN-SS-1145
18581,SFBIGCRK2
1507,4933440
3191,BITTER-G-3
2946,BEAVER-2-1
1075,381633107054700
1520,4933748
10687,MP-SS-2091
7663,FR-SpProj
7721,FR-UPGR
7644,FR-BELGR
5194,COR-Pump
1908,4995000
3917,C4_05_1
10576,MN-SS-1143
18286,SANDY-01
18287,SANDY-02
10692,MP-SS-2099
20806,THREE-02
20808,THREE-04
10698,MP-SS-2107
24126,VERNAL:15
26461,WILLOW2
10575,MN-SS-1142
14167,PACE1
11250,MS-LS-3007
7296,EPA03-2023
5462,CROUSE1
28359,XS-RM-6076
6326,D-Ancestor
441,11853
10701,MP-SS-2111
10704,MP-SS-2116
28301,XN-LS-4027
28314,XN-SS-4095
10542,MN-LS-1019
10566,MN-SS-1121
11281,MS-SS-3105
10569,MN-SS-1129
10579,MN-SS-1147
28286,XN-LS-4003
28291,XN-LS-4012
28303,XN-LS-4029
28315,XN-SS-4097
28327,XN-SS-4135
28330,XN-SS-4145
10570,MN-SS-1133
13577,OT-SS-7154
13574,OT-SS-7145
11286,MS-SS-3118
28209,XE-LS-5034
5451,CRMO-LC-01
3910,C3012
3911,C3021
3912,C305O2
3914,C3121
7807,G3052
3913,C3072
7810,G4012
7811,G406O1
7812,G406O2
3915,C3131
3916,C3141
3919,C401O1
3918,C4011
3920,C4042
24205,W201O2
3921,C4092
11291,MS-SS-3129
7794,G201O2
24206,W2041
3922,C4161
3926,C5082
3927,C5102
7795,G204O1
24207,W2061
7796,G2062
7805,G3011
539,1604
534,1528
7806,G304O2
10685,MP-SS-2088
11294,MS-SS-3133
7813,G4161
24208,W2082
24209,W2102
7814,G4171
7817,G5022
7818,G502O1
7820,G5102
7819,G5071
24210,W210O2
24211,W2121
28196,XE-LS-5011
28281,XE-SS-5153
28284,XE-SS-5157
11254,MS-LS-3016
24217,W3151
24218,W404O2
28268,XE-SS-5105
28271,XE-SS-5114
24219,W4081
28205,XE-LS-5027
28392,Y201O2
535,1530
5191,CO-RO-9435
11260,MS-LS-3024
28278,XE-SS-5143
28345,XS-LS-6020
28372,XS-SS-6111
28201,XE-LS-5021
1903,4994430
1973,4996855
28206,XE-LS-5030
28266,XE-SS-5099
1947,4995915
2063,5919980
5193,CO-RO-9437
5187,CO-RO-9420
20404,STCNM
6596,E_ELK_MOUTH
5210,CO-SS-9413
5185,CO-RO-9412
5544,CURECANTI_CK_1
9615,LF_GUN_GATEVIEW
4488,CIMCPG-1
17803,RED_CK_MOUTH
19690,SOAP_AB_CHANCE
10696,MP-SS-2105
13530,OT-LS-7001
26175,"WEST ELK CR BELOW FOREST BOUNDARY NR SAPINERO, CO"
13534,OT-LS-7006
2943,BEAVER_HWY_50
13542,OT-LS-7017
5213,CO-SS-9425
16508,PINE_HWY_50
4330,"CEBOLLA CREEK AT POWDERHORN, CO"
18585,SFBRCK-01
28613,2015CALEK1016
747,2015ORGRY1003
748,2015ORGRY1009
4642,CO10231
749,2015ORHOT1001
13561,OT-SS-7108
28354,XS-LS-6041
28386,XS-SS-6146
18597,SFK-Bear-A
28612,2015CAGRS1007
18296,SANGAB-BTWX
18297,SANGAB-DOWN
18298,SANGAB-UP
11261,MS-LS-3026
6619,E-Baker
18598,SFK-Eel-Michael
9377,Lacks-FaulknerP
17621,R5BIO-420
5087,CO-LS-9417
5179,CO-RO-9401
28343,XS-LS-6016
13563,OT-SS-7112
13533,OT-LS-7005
11273,MS-SS-3095
28385,XS-SS-6144
28305,XN-RM-4071
28317,XN-SS-4104
13557,OT-RO-7093
10535,MN-LS-1008
13554,OT-RM-7084
28376,XS-SS-6117
5090,CO-LS-9424
11255,MS-LS-3017
10673,MP-RO-2062
10668,MP-RM-2051
28383,XS-SS-6133
28279,XE-SS-5146
28340,XS-LS-6007
28379,XS-SS-6121
10679,MP-SS-2079
5184,CO-RO-9411
28370,XS-SS-6105
10689,MP-SS-2095
28204,XE-LS-5026
28296,XN-LS-4018
10691,MP-SS-2098
28319,XN-SS-4114
10677,MP-SS-2075
28289,XN-LS-4007
28331,XN-SS-4146
